time,norm,actualtrue,predtrue,TP,FP,TN,FN,accuracy,precision,recall,F1,lambda
0.053108375,0.109206949244747,12,13,4,9,279,8,0.943333333333333,0.307692307692308,0.333333333333333,0.32,1.2
0.0408473333333333,0.00527488802436067,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,1.2
0.0311255833333333,0.0351418939655587,12,21,6,15,273,6,0.93,0.285714285714286,0.5,0.363636363636364,1.2
0.0226640833333333,0.041987641248512,12,13,7,6,282,5,0.963333333333333,0.538461538461538,0.583333333333333,0.56,1.2
0.019187125,0.0315912387412181,12,12,8,4,284,4,0.973333333333333,0.666666666666667,0.666666666666667,0.666666666666667,1.2
0.00777279166666667,0.0570099521486333,12,8,7,1,287,5,0.98,0.875,0.583333333333333,0.7,1.2
0.0105180833333333,0.00127514631916942,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1.2
0.011126375,0.0269012385634706,11,10,8,2,287,3,0.983333333333333,0.8,0.727272727272727,0.761904761904762,1.2
0.00941141666666667,0.083803860806298,12,18,4,14,274,8,0.926666666666667,0.222222222222222,0.333333333333333,0.266666666666667,1.2
0.0161566666666667,0.0487425720490079,12,8,8,0,288,4,0.986666666666667,1,0.666666666666667,0.8,1.2
0.019670125,0.0868688118948745,12,17,3,14,274,9,0.923333333333333,0.176470588235294,0.25,0.206896551724138,1.2
0.023469625,0.0807845851880038,12,19,6,13,275,6,0.936666666666667,0.315789473684211,0.5,0.387096774193548,1.2
0.01624675,0.000610675192283593,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,1.2
0.0269781666666667,0.0404640295518926,12,19,9,10,278,3,0.956666666666667,0.473684210526316,0.75,0.580645161290323,1.2
0.017578375,0.0085697918708086,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1.2
0.0175300416666667,0.0212649887302695,11,20,8,12,277,3,0.95,0.4,0.727272727272727,0.516129032258065,1.2
0.01870425,0.0577881388584583,12,15,6,9,279,6,0.95,0.4,0.5,0.444444444444444,1.2
0.0288503333333333,0.0698815617224433,12,13,8,5,283,4,0.97,0.615384615384615,0.666666666666667,0.64,1.2
0.0207754583333333,0.000167082689626652,12,11,11,0,288,1,0.996666666666667,1,0.916666666666667,0.956521739130435,1.2
0.0287670833333333,0.0645331092131618,12,21,4,17,271,8,0.916666666666667,0.19047619047619,0.333333333333333,0.242424242424242,1.2
0.0145090416666667,0.00217438352331285,11,9,9,0,289,2,0.993333333333333,1,0.818181818181818,0.9,1.2
0.0188518333333333,0.00846491344596394,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1.2
0.0106977916666667,0.0872201399199706,12,11,7,4,284,5,0.97,0.636363636363636,0.583333333333333,0.608695652173913,1.2
0.00999279166666667,0.0461179250572132,12,12,5,7,281,7,0.953333333333333,0.416666666666667,0.416666666666667,0.416666666666667,1.2
0.012667375,0.0071201085885766,12,10,10,0,288,2,0.993333333333333,1,0.833333333333333,0.909090909090909,1.2
0.0133805416666667,0.0136197578898212,12,10,9,1,287,3,0.986666666666667,0.9,0.75,0.818181818181818,1.2
0.00953758333333333,0.0345414846412968,11,13,6,7,282,5,0.96,0.461538461538462,0.545454545454545,0.5,1.2
0.012997875,0.0237293534465531,12,20,7,13,275,5,0.94,0.35,0.583333333333333,0.4375,1.2
0.01094075,0.0738569243745797,12,18,8,10,278,4,0.953333333333333,0.444444444444444,0.666666666666667,0.533333333333333,1.2
0.0175761666666667,0.0579375041528072,12,17,8,9,279,4,0.956666666666667,0.470588235294118,0.666666666666667,0.551724137931034,1.2
0.0122135833333333,0.079710764467925,12,17,5,12,276,7,0.936666666666667,0.294117647058824,0.416666666666667,0.344827586206897,1.2
0.03196925,0.055575383377974,12,9,8,1,287,4,0.983333333333333,0.888888888888889,0.666666666666667,0.761904761904762,1.2
0.00831179166666667,0.098006781021897,11,12,7,5,284,4,0.97,0.583333333333333,0.636363636363636,0.608695652173913,1.2
0.0108090416666667,0.00654643894067716,12,7,7,0,288,5,0.983333333333333,1,0.583333333333333,0.736842105263158,1.2
0.0115873333333333,0.0518043635839737,10,7,7,0,290,3,0.99,1,0.7,0.823529411764706,1.2
0.011087375,0.00186355309232622,12,9,9,0,288,3,0.99,1,0.75,0.857142857142857,1.2
0.0153280833333333,0.0607232393307278,12,20,6,14,274,6,0.933333333333333,0.3,0.5,0.375,1.2
0.0109016666666667,0.00691715569006619,12,8,8,0,288,4,0.986666666666667,1,0.666666666666667,0.8,1.2
0.0114316666666667,0.0298868347560927,12,17,9,8,280,3,0.963333333333333,0.529411764705882,0.75,0.620689655172414,1.2
